FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
92521.8	62469.0	69994.35	46021.0	588.60004	120.36	70.31	12678.5	LCE123	B12	NKC_085
86880.6	51887.0	85318.664	55326.0	590.78	216.23999	141.51	13055.1	LCE123	B11	NKC_085
108823.5	68626.0	74517.85	49326.0	1763.62	156.06	247.42	13442.7	LCE123	B10	NKC_085
98646.3	69428.0	67099.31	46227.0	803.33	46.92	122.82	13677.5	LCE123	B9	NKC_085
156344.39	91081.0	75482.5	41075.0	725.94	176.45999	80.99	15769.7	LCE123	B8	NKC_085
112042.8	69952.0	86328.0	56587.0	992.99005	137.7	178.0	16173.2	LCE123	B7	NKC_085
162009.89	95337.0	163453.14	95637.0	1493.3	163.2	402.28	16845.5	LCE123	B6	NKC_085
80388.9	63354.0	31730.99	22622.0	30.52	14175.96	17.8	17009.3	LCE123	B5	NKC_085
81941.4	63565.0	36885.6	25290.0	38.15	17362.44	22.25	17202.0	LCE123	B4	NKC_085
90047.695	63777.0	62886.46	39371.0	100.28001	23995.5	59.629997	17410.4	LCE123	B3	NKC_085
97985.695	71545.0	47716.93	32017.0	87.200005	30483.719	58.739998	17592.5	LCE123	B2	NKC_085
95260.5	69754.0	53466.68	34595.0	147.15001	40783.68	56.96	17787.6	LCE123	B1	NKC_085
100778.4	69593.0	61126.113	35973.0	100.28001	33673.258	97.01	17991.8	LCE123	C1	NKC_085
86880.6	67619.0	34424.383	24246.0	53.41	18268.2	36.489998	18197.0	LCE123	C2	NKC_085
84126.6	60419.0	45669.91	29893.0	83.93	25378.62	31.15	18378.2	LCE123	C3	NKC_085
100431.0	67800.0	45846.492	30966.0	111.18	26133.42	47.17	18554.1	LCE123	C4	NKC_085
103349.695	74275.0	47079.28	30076.0	105.73	40002.36	35.6	18750.9	LCE123	C5	NKC_085
112734.9	77628.0	55203.05	35419.0	531.92004	20.4	121.93	19020.6	LCE123	C6	NKC_085
100814.4	65963.0	75898.88	48134.0	1095.4501	36.72	97.9	19671.3	LCE123	C7	NKC_085
112277.695	77563.0	45373.43	32086.0	572.25	31.619999	81.88	19962.4	LCE123	C8	NKC_085
71577.0	48867.0	56423.85	39258.0	725.94	215.22	122.82	20319.4	LCE123	C9	NKC_085
108154.8	73537.0	88600.66	58339.0	535.19	207.06	102.35	20567.6	LCE123	C10	NKC_085
92975.4	67683.0	58647.453	39734.0	1457.3301	63.239998	33.82	20865.0	LCE123	C11	NKC_085
122105.695	74719.0	74856.84	40662.0	1113.98	83.64	140.62	21203.0	LCE123	C12	NKC_085
198522.0	101864.0	172948.12	83898.0	171.13	134.64	156.64	21348.5	LCE123	C13	NKC_085
117737.09	81092.0	68729.95	47636.0	81.75	42.84	47.17	21528.9	LCE123	C14	NKC_085
181177.19	95986.0	121858.734	50974.0	170.04001	99.96	247.42	21710.4	LCE123	C15	NKC_085
207661.5	103834.0	124754.87	67798.0	146.06	53.04	169.98999	21906.1	LCE123	C16	NKC_085
141480.0	83785.0	115286.03	67443.0	116.630005	75.479996	164.65	22084.7	LCE123	C17	NKC_085
127214.09	84106.0	84354.016	57747.0	85.020004	83.64	152.19	22284.1	LCE123	C18	NKC_085
166038.3	99148.0	106314.24	63396.0	103.55	135.66	229.62	22468.1	LCE123	C19	NKC_085
77403.6	62067.0	27194.41	19347.0	1631.7301	6447.42	32.93	22686.9	LCE123	C20	NKC_085
145041.3	80606.0	137429.39	77856.0	1401.74	7119.6	147.73999	22943.7	LCE123	C21	NKC_085
65607.3	54655.0	20423.33	16951.0	967.92004	5720.1597	16.02	23127.7	LCE123	C22	NKC_085
183727.8	93650.0	138940.12	65982.0	685.61005	1792.14	493.06	23311.5	LCE123	C23	NKC_085
81679.5	64096.0	29295.932	20575.0	518.84	9436.02	22.25	23517.8	LCE123	B23	NKC_085
65169.0	54996.0	18936.57	16116.0	916.69	5065.32	6.23	23958.8	LCE123	B24	NKC_085
81594.0	64732.0	36662.152	25693.0	1786.51	2856.0	24.029999	24288.1	LCE123	C24	NKC_085
81040.5	62154.0	23926.59	16650.0	2031.76	8789.34	20.47	24534.0	LCE123	D24	NKC_085
69463.8	57456.0	26946.98	21668.0	2537.52	1454.52	38.27	25036.1	LCE123	D23	NKC_085
79192.8	62659.0	26606.9	18282.0	4279.3403	1672.7999	31.15	25371.5	LCE123	D22	NKC_085
84153.6	64448.0	23440.451	17499.0	1521.64	5747.6997	32.93	25652.5	LCE123	D21	NKC_085
73632.6	59896.0	26591.64	20507.0	1529.27	5163.2397	19.58	25872.2	LCE123	D20	NKC_085
182759.39	100651.0	140225.23	75971.0	163.5	84.659996	123.71	26026.6	LCE123	D19	NKC_085
152497.8	92839.0	84392.164	48895.0	80.66	82.619995	235.84999	26194.9	LCE123	D18	NKC_085
187695.0	97601.0	153259.45	79551.0	134.07	54.059998	146.84999	26383.4	LCE123	D17	NKC_085
156744.0	92865.0	94893.23	53047.0	61.04	85.68	64.08	26572.7	LCE123	D16	NKC_085
138754.8	89272.0	73512.875	46839.0	90.47	139.73999	78.32	26760.1	LCE123	D15	NKC_085
154076.39	81914.0	96520.59	60662.0	87.200005	55.079998	173.55	26947.7	LCE123	D14	NKC_085
150760.8	81111.0	128310.445	69046.0	110.090004	59.16	225.17	27169.4	LCE123	D13	NKC_085
146961.0	87440.0	110907.5	60326.0	722.67004	158.09999	137.95	27864.2	LCE123	D12	NKC_085
112552.195	68868.0	81887.34	48923.0	736.84	118.32	85.44	28188.4	LCE123	D11	NKC_085
78555.6	62204.0	21052.26	16273.0	2923.3801	185.64	19.58	29068.6	LCE123	D10	NKC_085
129582.0	81037.0	95264.914	55659.0	575.52	120.36	104.13	29690.3	LCE123	D9	NKC_085
160411.5	88489.0	114925.24	53971.0	955.93005	84.659996	193.12999	30229.9	LCE123	D8	NKC_085
